AUTOGENERATED FILE DO NOT EDIT
View a prettier version of this at,https://docs.google.com/spreadsheets/d/15pJY4cxtM2NVNFKQDgDnoT5PLo0Nm5Td-Ov-5PZefAw
platform,Android Nexus5 Perf,Android Nexus5X WebView Perf,Win 7 Nvidia GPU Perf,Win 7 Perf,android-go-perf,android-go_webview-perf,android-pixel2-perf,android-pixel2_weblayer-perf,android-pixel2_webview-perf,linux-perf,mac-10_12_laptop_low_end-perf,mac-10_13_laptop_high_end-perf,win-10-perf,win-10_laptop_low_end-perf
memory.desktop,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.004,0.003,0.005,0.006
net_perftests,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000
octane,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001
performance_browser_tests,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000
power.desktop,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.014,0.012,0.013,0.016
rasterize_and_record_micro.partial_invalidation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
rasterize_and_record_micro.top_25,0.000,0.016,0.000,0.000,0.000,0.000,0.011,0.000,0.008,0.007,0.008,0.008,0.010,0.013
rendering.desktop,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.116,0.086,0.091,0.160
rendering.mobile,0.000,0.199,0.000,0.000,0.000,0.000,0.189,0.000,0.104,0.000,0.000,0.000,0.000,0.000
speedometer,0.000,0.001,0.000,0.000,0.004,0.003,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.002
speedometer-future,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.002
speedometer2,0.000,0.002,0.000,0.000,0.008,0.006,0.001,0.000,0.001,0.001,0.002,0.002,0.001,0.003
speedometer2-future,0.000,0.002,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.002,0.002,0.001,0.003
startup.mobile,0.019,0.000,0.000,0.000,0.018,0.000,0.059,0.022,0.000,0.000,0.000,0.000,0.000,0.000
system_health.common_desktop,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.052,0.042,0.045,0.067
system_health.common_mobile,0.037,0.052,0.000,0.000,0.130,0.078,0.050,0.039,0.028,0.000,0.000,0.000,0.000,0.000
system_health.memory_desktop,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.044,0.036,0.040,0.055
system_health.memory_mobile,0.000,0.048,0.000,0.000,0.129,0.074,0.052,0.045,0.031,0.000,0.000,0.000,0.000,0.000
system_health.webview_startup,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
tab_switching.typical_25,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
tracing.tracing_with_background_memory_infra,0.000,0.002,0.000,0.000,0.000,0.000,0.002,0.000,0.001,0.002,0.003,0.002,0.003,0.004
tracing_perftests,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
v8.browsing_desktop,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.027,0.023,0.023,0.036
v8.browsing_desktop-future,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.029,0.023,0.023,0.036
v8.browsing_mobile,0.000,0.036,0.000,0.000,0.107,0.000,0.105,0.000,0.021,0.000,0.000,0.000,0.000,0.000
v8.browsing_mobile-future,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000
v8.runtime_stats.top_25,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.121
views_perftests,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
webrtc,0.000,0.004,0.000,0.000,0.000,0.000,0.004,0.000,0.003,0.004,0.005,0.004,0.004,0.007
